file_x,id,Name,stress_mpa,temp_oc,LMP,mean,upper,lower,gamma,gammaP,gammaP_distrib,gammaP_aspect,gammaP_width,gammaP_circle
in792sx,A-C11,210407-AC11-2_m008_r1.png,108.8,950,29.468,100.0,100.0,49.179,52.74954659598215,47.250453404017854,"[51.852, 18.519, 16.667, 12.963, 0.0]",2.417112401732336,76.93534465888641,0.3011989236747436
in792sx,A-C11,210407-AC11-2_m009_r1.png,108.8,950,29.468,100.0,100.0,49.179,54.54241071428572,45.457589285714285,"[35.417, 27.083, 22.917, 12.5, 2.083]",2.3185860748869214,74.97346608986625,0.3743713206084638
in792sx,A-C11,210407-AC11-2_m010_r1.png,108.8,950,29.468,100.0,100.0,49.179,55.757271902901785,44.242728097098215,"[53.333, 20.0, 18.333, 5.0, 3.333]",2.329279173826715,84.02513480618994,0.3973312358167759
in792sx,A-C11,210407-AC11-2_m011_r1.png,108.8,950,29.468,100.0,100.0,49.179,54.79614257812499,45.203857421875,"[46.154, 15.385, 21.154, 17.308, 0.0]",1.9925666471062644,71.60610581305849,0.3892677774278135
in792sx,A-C11,210407-AC11-2_m012_r1.png,108.8,950,29.468,100.0,100.0,49.179,53.7200927734375,46.2799072265625,"[49.123, 14.035, 22.807, 14.035, 0.0]",2.2410105010793067,73.66233828144861,0.4602518705817649
in792sx,A-C11,210407-AC11-2_m013_r1.png,108.8,950,29.468,100.0,100.0,49.179,54.382411411830354,45.617588588169646,"[37.736, 28.302, 20.755, 13.208, 0.0]",2.6976783640251307,61.50695797547232,0.3668177339859675
in792sx,A-C11,210407-AC11-2_m014_r1.png,108.8,950,29.468,100.0,100.0,49.179,52.11774553571429,47.88225446428571,"[51.923, 17.308, 15.385, 13.462, 1.923]",2.7190962419674225,80.5862961203225,0.3296460732771715
in792sx,A-C11,210407-AC11-2_m015_r1.png,108.8,950,29.468,100.0,100.0,49.179,54.0277099609375,45.9722900390625,"[50.98, 13.725, 23.529, 9.804, 1.961]",2.7758536842165054,67.64115282486529,0.3611085501198651
in792sx,A-C8,210415-AC8-1_m001_r1.png,79.7,1000,30.389,100.0,100.0,50.569,65.45331682477679,34.546683175223215,"[61.404, 8.772, 21.053, 8.772, 0.0]",2.386230855319953,65.16577277976181,0.3527459367847695
in792sx,A-C8,210415-AC8-1_m002_r1.png,79.7,1000,30.389,100.0,100.0,50.569,63.88105119977679,36.118948800223215,"[46.939, 22.449, 18.367, 12.245, 0.0]",2.748306935024588,65.95041767129433,0.4275269394746805
in792sx,A-C8,210415-AC8-1_m003_r1.png,79.7,1000,30.389,100.0,100.0,50.569,71.38828822544643,28.611711774553573,"[54.545, 20.0, 20.0, 5.455, 0.0]",2.014253271351855,62.6250966563868,0.4818057676307376
in792sx,A-C8,210415-AC8-1_m004_r1.png,79.7,1000,30.389,100.0,100.0,50.569,67.87615094866072,32.123849051339285,"[66.102, 10.169, 13.559, 10.169, 0.0]",2.2031377661690685,71.53680171089901,0.4913114946844643
in792sx,A-C8,210415-AC8-1_m005_r1.png,79.7,1000,30.389,100.0,100.0,50.569,68.360595703125,31.639404296875,"[64.407, 8.475, 16.949, 10.169, 0.0]",2.7282740202273925,61.07608439191233,0.4307624986324693
in792sx,A-C8,210415-AC8-1_m006_r1.png,79.7,1000,30.389,100.0,100.0,50.569,69.395751953125,30.604248046875,"[50.847, 16.949, 28.814, 3.39, 0.0]",2.4304471843350584,55.95909956503728,0.5055444938418038
in792sx,A-C8,210415-AC8-1_m007_r1.png,79.7,1000,30.389,100.0,100.0,50.569,63.20382254464286,36.796177455357146,"[53.333, 13.333, 22.222, 11.111, 0.0]",2.9875371724102737,70.05412607402369,0.4368177351074456
in792sx,A-C8,210415-AC8-1_m008_r1.png,79.7,1000,30.389,100.0,100.0,50.569,67.78642926897321,32.213570731026785,"[65.079, 11.111, 17.46, 6.349, 0.0]",2.4044059752716063,73.01351968642159,0.5461531214550724
in792sx,A-C8,210415-AC8-1_m009_r1.png,79.7,1000,30.389,100.0,100.0,50.569,69.74705287388393,30.25294712611607,"[52.083, 27.083, 14.583, 4.167, 2.083]",2.489335838089279,74.85699073005553,0.3793471847003475
in792sx,A-C8,210415-AC8-1_m010_r1.png,79.7,1000,30.389,100.0,100.0,50.569,68.36512974330358,31.63487025669643,"[68.333, 16.667, 6.667, 8.333, 0.0]",3.237489971395389,67.48772906716484,0.3889449263774394
in792sx,A-C8,210415-AC8-1_m011_r1.png,79.7,1000,30.389,100.0,100.0,50.569,71.74830845424107,28.251691545758927,"[51.02, 24.49, 18.367, 6.122, 0.0]",2.720041018698007,62.39363243594881,0.4886156193273335
in792sx,A-C8,210415-AC8-1_m012_r1.png,79.7,1000,30.389,100.0,100.0,50.569,70.64557756696429,29.354422433035715,"[58.462, 15.385, 23.077, 3.077, 0.0]",2.2480673804195903,63.80624572715657,0.5654395450884754
in792sx,A-C8,210415-AC8-1_m013_r1.png,79.7,1000,30.389,100.0,100.0,50.569,64.29853166852678,35.701468331473215,"[68.966, 17.241, 6.897, 5.172, 1.724]",2.3411159845863376,114.73617901661818,0.2490173898472515
in792sx,A-C8,210415-AC8-1_m014_r1.png,79.7,1000,30.389,100.0,100.0,50.569,66.76225934709822,33.237740652901785,"[63.793, 13.793, 15.517, 6.897, 0.0]",2.780407164330578,75.60023858113918,0.3764852221311238
in792sx,A-C8,210415-AC8-1_m015_r1.png,79.7,1000,30.389,100.0,100.0,50.569,61.83428083147321,38.16571916852679,"[65.455, 3.636, 23.636, 5.455, 1.818]",2.488310257510469,87.1970661419496,0.3937219758391671
in792sx,A-C8,210415-AC8-2_m001_r1.png,79.7,1000,30.389,100.0,100.0,50.569,70.37405831473215,29.625941685267858,"[63.415, 15.854, 19.512, 1.22, 0.0]",2.107499958070334,59.7219709096579,0.5032742932989912
in792sx,A-C8,210415-AC8-2_m002_r1.png,79.7,1000,30.389,100.0,100.0,50.569,62.31654575892858,37.68345424107143,"[48.718, 10.256, 25.641, 15.385, 0.0]",2.7522266569724354,74.74174042026641,0.4386530577770206
in792sx,A-C8,210415-AC8-2_m003_r1.png,79.7,1000,30.389,100.0,100.0,50.569,68.10677664620536,31.89322335379464,"[70.69, 12.069, 8.621, 6.897, 1.724]",2.4782783638750034,83.3507991721767,0.33430721971843
in792sx,A-C8,210415-AC8-2_m004_r1.png,79.7,1000,30.389,100.0,100.0,50.569,68.19536481584821,31.804635184151785,"[72.857, 8.571, 12.857, 5.714, 0.0]",2.5095942755297966,67.3168562141376,0.3630548159390926
in792sx,A-C8,210415-AC8-2_m005_r1.png,79.7,1000,30.389,100.0,100.0,50.569,64.85848563058035,35.14151436941964,"[52.941, 15.686, 19.608, 11.765, 0.0]",2.658533572476401,71.6904852536326,0.4842744054154599
in792sx,A-C8,210415-AC8-2_m006_r1.png,79.7,1000,30.389,100.0,100.0,50.569,66.3818359375,33.6181640625,"[47.619, 21.429, 19.048, 11.905, 0.0]",2.03346420276452,74.7465044364295,0.3781408397707021
in792sx,A-C8,210415-AC8-2_m007_r1.png,79.7,1000,30.389,100.0,100.0,50.569,69.44039481026786,30.559605189732142,"[56.863, 11.765, 21.569, 9.804, 0.0]",2.460653346432152,65.10040246685132,0.4940194351443556
in792sx,A-C8,210415-AC8-2_m008_r1.png,79.7,1000,30.389,100.0,100.0,50.569,63.51841517857143,36.48158482142857,"[54.167, 16.667, 14.583, 14.583, 0.0]",2.3491909146376577,78.30868045659076,0.4338496901586137
in792sx,A-C8,210415-AC8-2_m009_r1.png,79.7,1000,30.389,100.0,100.0,50.569,65.73782784598214,34.262172154017854,"[57.692, 9.615, 26.923, 5.769, 0.0]",2.132551634286673,70.09356826659648,0.4991936488714458
in792sx,A-C8,210415-AC8-2_m010_r1.png,79.7,1000,30.389,100.0,100.0,50.569,71.53956821986607,28.460431780133927,"[71.831, 8.451, 15.493, 4.225, 0.0]",1.8923888608600288,69.55283143312387,0.4491359452117747
in792sx,A-C8,210415-AC8-2_m011_r1.png,79.7,1000,30.389,100.0,100.0,50.569,63.1536865234375,36.8463134765625,"[63.043, 6.522, 19.565, 10.87, 0.0]",3.085502884793681,75.6439080851743,0.4037072716652112
in792sx,A-C8,210415-AC8-2_m012_r1.png,79.7,1000,30.389,100.0,100.0,50.569,70.25704520089285,29.742954799107142,"[62.025, 20.253, 15.19, 2.532, 0.0]",2.5436574478588723,55.55739435903625,0.4628121027564833
in792sx,A-C8,210415-AC8-2_m013_r1.png,79.7,1000,30.389,100.0,100.0,50.569,63.930751255580354,36.06924874441964,"[70.0, 8.333, 13.333, 6.667, 1.667]",2.5394105267528557,83.05204750142092,0.389124716286191
in792sx,A-C8,210415-AC8-2_m014_r1.png,79.7,1000,30.389,100.0,100.0,50.569,65.70844377790178,34.291556222098215,"[51.22, 12.195, 21.951, 14.634, 0.0]",2.484217850412888,66.67986972998942,0.4582858120735057
in792sx,A-C8,210415-AC8-2_m015_r1.png,79.7,1000,30.389,100.0,100.0,50.569,69.024658203125,30.975341796875,"[56.452, 14.516, 24.194, 4.839, 0.0]",2.38375004824714,59.80008832203203,0.5307564404675412
in792sx,A-C8,210415-AC8-3_m001_r1.png,79.7,1000,30.389,100.0,100.0,50.569,65.42088099888392,34.57911900111607,"[39.024, 24.39, 26.829, 9.756, 0.0]",2.4634814636944142,68.4620526798878,0.472930332463012
in792sx,A-C8,210415-AC8-3_m002_r1.png,79.7,1000,30.389,100.0,100.0,50.569,66.29054478236607,33.70945521763392,"[55.0, 10.0, 22.5, 12.5, 0.0]",2.166216716764598,84.56845668097189,0.5233028287330646
in792sx,A-C8,210415-AC8-3_m003_r1.png,79.7,1000,30.389,100.0,100.0,50.569,67.10545131138392,32.89454868861607,"[68.627, 9.804, 9.804, 11.765, 0.0]",2.403634480546523,79.15216394903264,0.4491854065574938
in792sx,A-C8,210415-AC8-3_m004_r1.png,79.7,1000,30.389,100.0,100.0,50.569,65.49063546316964,34.509364536830354,"[56.098, 17.073, 9.756, 17.073, 0.0]",3.118949275468052,68.43782745795205,0.3347873385846284
in792sx,A-C8,210415-AC8-3_m005_r1.png,79.7,1000,30.389,100.0,100.0,50.569,62.054443359375,37.945556640625,"[40.0, 5.714, 37.143, 17.143, 0.0]",2.3288725409896043,77.89549806362628,0.5201444832111265
in792sx,A-C8,210415-AC8-3_m006_r1.png,79.7,1000,30.389,100.0,100.0,50.569,69.07052176339286,30.929478236607142,"[52.941, 15.686, 23.529, 7.843, 0.0]",2.3773502307836174,68.4109642518964,0.5581302849037059
in792sx,A-C8,210415-AC8-3_m007_r1.png,79.7,1000,30.389,100.0,100.0,50.569,66.14711216517857,33.85288783482142,"[45.238, 23.81, 16.667, 14.286, 0.0]",2.639102051002365,70.46449231232435,0.429536102344727
in792sx,A-C8,210415-AC8-3_m008_r1.png,79.7,1000,30.389,100.0,100.0,50.569,64.9273681640625,35.0726318359375,"[66.071, 12.5, 10.714, 10.714, 0.0]",2.7135306814083706,77.36328485182581,0.4639917384232861
in792sx,A-C8,210415-AC8-3_m009_r1.png,79.7,1000,30.389,100.0,100.0,50.569,63.70012555803572,36.299874441964285,"[50.0, 15.789, 15.789, 18.421, 0.0]",2.332368160688541,80.84326590104,0.4941222491438473
in792sx,A-C8,210415-AC8-3_m010_r1.png,79.7,1000,30.389,100.0,100.0,50.569,70.6207275390625,29.3792724609375,"[50.0, 13.043, 30.435, 6.522, 0.0]",2.3144082625485645,60.63969479588061,0.4893450613316977
in792sx,A-C8,210415-AC8-3_m011_r1.png,79.7,1000,30.389,100.0,100.0,50.569,66.75336565290179,33.246634347098215,"[46.512, 16.279, 30.233, 6.977, 0.0]",2.473351314036802,63.65145796848282,0.4195956576250284
in792sx,A-C8,210415-AC8-3_m012_r1.png,79.7,1000,30.389,100.0,100.0,50.569,66.88214983258929,33.11785016741071,"[55.769, 17.308, 19.231, 7.692, 0.0]",2.9444561614973783,64.70341547735401,0.4270737166034795
in792sx,A-C8,210415-AC8-3_m013_r1.png,79.7,1000,30.389,100.0,100.0,50.569,71.29595075334821,28.704049246651785,"[47.5, 15.0, 27.5, 10.0, 0.0]",2.329927000145412,62.72213384642213,0.4322428740870344
in792sx,A-C8,210415-AC8-3_m014_r1.png,79.7,1000,30.389,100.0,100.0,50.569,68.83571079799107,31.164289202008927,"[56.0, 20.0, 16.0, 8.0, 0.0]",2.338589073633024,70.48275396233998,0.3981128101580263
in792sx,A-C8,210415-AC8-3_m015_r1.png,79.7,1000,30.389,100.0,100.0,50.569,63.1988525390625,36.8011474609375,"[50.0, 16.667, 19.444, 13.889, 0.0]",2.1642580265435427,85.02594472700564,0.3400511837631454
in792sx,A-C8,210415-AC8-4_m001_r1.png,79.7,1000,30.389,100.0,100.0,50.569,67.12480817522322,32.875191824776785,"[68.333, 8.333, 16.667, 6.667, 0.0]",2.6652959488240984,68.64390073330692,0.3166181532772972
in792sx,A-C8,210415-AC8-4_m002_r1.png,79.7,1000,30.389,100.0,100.0,50.569,63.751220703125,36.248779296875,"[52.174, 10.87, 26.087, 10.87, 0.0]",2.915849889280488,68.21020260178457,0.4839828967109547
in792sx,A-C8,210415-AC8-4_m003_r1.png,79.7,1000,30.389,100.0,100.0,50.569,68.85515485491072,31.144845145089285,"[50.0, 14.583, 27.083, 8.333, 0.0]",2.59669676806286,62.19226111940537,0.4133371392582678
